"subid"	"phase"	"movieOrder"	"movieName"	"grain"	"movieStartTime"	"keypressed"	"bpTime"	"movieDuration"	"condition"	"clipNo"	"movName"	"bpTime.series"	"totalMovieDur"	"grainorder"	"include"
"39"	2	1	2	"Corn Island_10Min.mp4"	"c"	1.7066	"space"	2.91780000000006	NA	"Uninterrupted"	"10"	"Corn"	544.4921	588.688	2	1
"40"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	2.4605	NA	"Uninterrupted"	"1"	"3Iron"	2.4605	589.3222	1	1
"41"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	13.2727	NA	"Uninterrupted"	"1"	"3Iron"	13.2727	589.3222	1	1
"42"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	18.1753	NA	"Uninterrupted"	"1"	"3Iron"	18.1753	589.3222	1	1
"43"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	20.5711	NA	"Uninterrupted"	"1"	"3Iron"	20.5711	589.3222	1	1
"44"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	25.7862	NA	"Uninterrupted"	"1"	"3Iron"	25.7862	589.3222	1	1
"45"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	33.2305	NA	"Uninterrupted"	"1"	"3Iron"	33.2305	589.3222	1	1
"46"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	40.5636	NA	"Uninterrupted"	"1"	"3Iron"	40.5636	589.3222	1	1
"47"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	44.737	NA	"Uninterrupted"	"1"	"3Iron"	44.737	589.3222	1	1
"48"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	47.6745	NA	"Uninterrupted"	"1"	"3Iron"	47.6745	589.3222	1	1
"49"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	50.1397	NA	"Uninterrupted"	"1"	"3Iron"	50.1397	589.3222	1	1
"50"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	52.0702	NA	"Uninterrupted"	"1"	"3Iron"	52.0702	589.3222	1	1
"51"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	4.7598	NA	"Uninterrupted"	"2"	"3Iron"	64.8198	589.3222	1	1
"52"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	9.03749999999999	NA	"Uninterrupted"	"2"	"3Iron"	69.0975	589.3222	1	1
"53"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	13.9681	NA	"Uninterrupted"	"2"	"3Iron"	74.0281	589.3222	1	1
"54"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	19.7456	NA	"Uninterrupted"	"2"	"3Iron"	79.8056	589.3222	1	1
"55"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	32.7244	NA	"Uninterrupted"	"2"	"3Iron"	92.7844	589.3222	1	1
"56"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	40.7659	NA	"Uninterrupted"	"2"	"3Iron"	100.8259	589.3222	1	1
"57"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	48.9045	NA	"Uninterrupted"	"2"	"3Iron"	108.9645	589.3222	1	1
"58"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	52.6682	NA	"Uninterrupted"	"2"	"3Iron"	112.7282	589.3222	1	1
"59"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	0.186999999999998	NA	"Uninterrupted"	"3"	"3Iron"	120.5406	589.3222	1	1
"60"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	2.56189999999999	NA	"Uninterrupted"	"3"	"3Iron"	122.9155	589.3222	1	1
"61"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	10.2353	NA	"Uninterrupted"	"3"	"3Iron"	130.5889	589.3222	1	1
"62"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	17.7489	NA	"Uninterrupted"	"3"	"3Iron"	138.1025	589.3222	1	1
"63"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	22.3809	NA	"Uninterrupted"	"3"	"3Iron"	142.7345	589.3222	1	1
"64"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	26.5821	NA	"Uninterrupted"	"3"	"3Iron"	146.9357	589.3222	1	1
"65"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	31.4152	NA	"Uninterrupted"	"3"	"3Iron"	151.7688	589.3222	1	1
"66"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	44.0329	NA	"Uninterrupted"	"3"	"3Iron"	164.3865	589.3222	1	1
"67"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	50.3384	NA	"Uninterrupted"	"3"	"3Iron"	170.692	589.3222	1	1
"68"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	4.05439999999999	NA	"Uninterrupted"	"4"	"3Iron"	184.6015	589.3222	1	1
"69"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	15.9428	NA	"Uninterrupted"	"4"	"3Iron"	196.4899	589.3222	1	1
"70"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	19.1788	NA	"Uninterrupted"	"4"	"3Iron"	199.7259	589.3222	1	1
"71"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	30.4494	NA	"Uninterrupted"	"4"	"3Iron"	210.9965	589.3222	1	1
"72"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	33.8936	NA	"Uninterrupted"	"4"	"3Iron"	214.4407	589.3222	1	1
"73"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	37.2617	NA	"Uninterrupted"	"4"	"3Iron"	217.8088	589.3222	1	1
"74"	2	1	1	"3Iron_10Min.mp4"	"f"	2.5041	"space"	40.831	NA	"Uninterrupted"	"4"	"3Iron"	221.3781	589.3222	1	1
