"subid"	"condition"	"grain"	"movName"	"clipNo"	"bpTime.series"
"90"	"47710"	"Uninterrupted"	"f"	"corn"	1	51.937
"91"	"47710"	"Uninterrupted"	"f"	"corn"	1	54.141
"92"	"47710"	"Uninterrupted"	"f"	"corn"	1	57.827
"93"	"47710"	"Uninterrupted"	"f"	"corn"	1	60.05
"94"	"47710"	"Uninterrupted"	"f"	"corn"	1	62.796
"95"	"47710"	"Uninterrupted"	"f"	"corn"	1	64.6190000000001
"96"	"47710"	"Uninterrupted"	"f"	"corn"	1	66.142
"97"	"47710"	"Uninterrupted"	"f"	"corn"	1	69.404
"98"	"47710"	"Uninterrupted"	"f"	"corn"	1	72.191
"99"	"47710"	"Uninterrupted"	"f"	"corn"	1	85.148
"100"	"47710"	"Uninterrupted"	"f"	"corn"	1	88.709
"101"	"47710"	"Uninterrupted"	"f"	"corn"	1	90.755
"102"	"47710"	"Uninterrupted"	"f"	"corn"	1	97.864
"103"	"47710"	"Uninterrupted"	"f"	"corn"	1	98.704
"104"	"47710"	"Uninterrupted"	"f"	"corn"	1	102.892
"105"	"47710"	"Uninterrupted"	"f"	"corn"	1	108.49
"106"	"47710"	"Uninterrupted"	"f"	"corn"	1	111.686
"107"	"47710"	"Uninterrupted"	"f"	"corn"	1	130.32
"108"	"47710"	"Uninterrupted"	"f"	"corn"	1	146.777
"109"	"47710"	"Uninterrupted"	"f"	"corn"	1	150.5
"110"	"47710"	"Uninterrupted"	"f"	"corn"	1	164.312
"111"	"47710"	"Uninterrupted"	"f"	"corn"	1	168.208
"112"	"47710"	"Uninterrupted"	"f"	"corn"	1	173.565
"113"	"47710"	"Uninterrupted"	"f"	"corn"	1	180.966
"114"	"47710"	"Uninterrupted"	"f"	"corn"	1	195.13
"115"	"47710"	"Uninterrupted"	"f"	"corn"	1	217.996
"116"	"47710"	"Uninterrupted"	"f"	"corn"	1	218.582
"117"	"47710"	"Uninterrupted"	"f"	"corn"	1	223.797
"118"	"47710"	"Uninterrupted"	"f"	"corn"	1	226.365
"119"	"47710"	"Uninterrupted"	"f"	"corn"	1	230.657
"120"	"47710"	"Uninterrupted"	"f"	"corn"	1	233.949
"121"	"47710"	"Uninterrupted"	"f"	"corn"	1	237.24
"122"	"47710"	"Uninterrupted"	"f"	"corn"	1	260.436
"123"	"47710"	"Uninterrupted"	"f"	"corn"	1	261.34
"124"	"47710"	"Uninterrupted"	"f"	"corn"	1	279.402
"125"	"47710"	"Uninterrupted"	"f"	"corn"	1	285.296
"126"	"47710"	"Uninterrupted"	"f"	"corn"	1	287.705
"127"	"47710"	"Uninterrupted"	"f"	"corn"	1	289.026
"128"	"47710"	"Uninterrupted"	"f"	"corn"	1	298.112
"129"	"47710"	"Uninterrupted"	"f"	"corn"	1	306.818
"130"	"47710"	"Uninterrupted"	"f"	"corn"	1	313.406
"131"	"47710"	"Uninterrupted"	"f"	"corn"	1	316.65
"132"	"47710"	"Uninterrupted"	"f"	"corn"	1	320.624
"133"	"47710"	"Uninterrupted"	"f"	"corn"	1	323.248
"134"	"47710"	"Uninterrupted"	"f"	"corn"	1	328.452
"135"	"47710"	"Uninterrupted"	"f"	"corn"	1	341.481
"136"	"47710"	"Uninterrupted"	"f"	"corn"	1	352.706
"137"	"47710"	"Uninterrupted"	"f"	"corn"	1	359.342
"138"	"47710"	"Uninterrupted"	"f"	"corn"	1	363.044
"139"	"47710"	"Uninterrupted"	"f"	"corn"	1	384.299
"140"	"47710"	"Uninterrupted"	"f"	"corn"	1	394.194
"141"	"47710"	"Uninterrupted"	"f"	"corn"	1	405.513
"142"	"47710"	"Uninterrupted"	"f"	"corn"	1	423.026
"143"	"47710"	"Uninterrupted"	"f"	"iron"	1	3.779
"144"	"47710"	"Uninterrupted"	"f"	"iron"	1	6.77300000000023
"145"	"47710"	"Uninterrupted"	"f"	"iron"	1	7.914
"146"	"47710"	"Uninterrupted"	"f"	"iron"	1	10.166
"147"	"47710"	"Uninterrupted"	"f"	"iron"	1	13.063
"148"	"47710"	"Uninterrupted"	"f"	"iron"	1	14.979
"149"	"47710"	"Uninterrupted"	"f"	"iron"	1	18.019
"150"	"47710"	"Uninterrupted"	"f"	"iron"	1	19.435
"151"	"47710"	"Uninterrupted"	"f"	"iron"	1	23.353
"152"	"47710"	"Uninterrupted"	"f"	"iron"	1	27.862
"153"	"47710"	"Uninterrupted"	"f"	"iron"	1	29.78
"154"	"47710"	"Uninterrupted"	"f"	"iron"	1	36.054
"155"	"47710"	"Uninterrupted"	"f"	"iron"	1	39.3980000000002
"156"	"47710"	"Uninterrupted"	"f"	"iron"	1	41.395
"157"	"47710"	"Uninterrupted"	"f"	"iron"	1	46.044
"158"	"47710"	"Uninterrupted"	"f"	"iron"	1	53.175
"159"	"47710"	"Uninterrupted"	"f"	"iron"	1	58.839
"160"	"47710"	"Uninterrupted"	"f"	"iron"	1	65.6870000000002
"161"	"47710"	"Uninterrupted"	"f"	"iron"	1	71.373
"162"	"47710"	"Uninterrupted"	"f"	"iron"	1	74.356
"163"	"47710"	"Uninterrupted"	"f"	"iron"	1	87.407
"164"	"47710"	"Uninterrupted"	"f"	"iron"	1	90.433
"165"	"47710"	"Uninterrupted"	"f"	"iron"	1	96.115
"166"	"47710"	"Uninterrupted"	"f"	"iron"	1	97.599
"167"	"47710"	"Uninterrupted"	"f"	"iron"	1	100.628
"168"	"47710"	"Uninterrupted"	"f"	"iron"	1	102.214
"169"	"47710"	"Uninterrupted"	"f"	"iron"	1	105.101
"170"	"47710"	"Uninterrupted"	"f"	"iron"	1	109.875
"171"	"47710"	"Uninterrupted"	"f"	"iron"	1	113.157
"172"	"47710"	"Uninterrupted"	"f"	"iron"	1	118.313
"173"	"47710"	"Uninterrupted"	"f"	"iron"	1	121.59
"174"	"47710"	"Uninterrupted"	"f"	"iron"	1	127.944
"175"	"47710"	"Uninterrupted"	"f"	"iron"	1	132.332
"176"	"47710"	"Uninterrupted"	"f"	"iron"	1	139.239
"177"	"47710"	"Uninterrupted"	"f"	"iron"	1	144.133
"178"	"47710"	"Uninterrupted"	"f"	"iron"	1	148.235
"179"	"47710"	"Uninterrupted"	"f"	"iron"	1	153.089
"180"	"47710"	"Uninterrupted"	"f"	"iron"	1	155.328
"181"	"47710"	"Uninterrupted"	"f"	"iron"	1	162.676
"182"	"47710"	"Uninterrupted"	"f"	"iron"	1	169.991
"183"	"47710"	"Uninterrupted"	"f"	"iron"	1	175.696
"184"	"47710"	"Uninterrupted"	"f"	"iron"	1	182.84
"185"	"47710"	"Uninterrupted"	"f"	"iron"	1	188.811
"186"	"47710"	"Uninterrupted"	"f"	"iron"	1	193.054
"187"	"47710"	"Uninterrupted"	"f"	"iron"	1	194.806
"188"	"47710"	"Uninterrupted"	"f"	"iron"	1	204.101
"189"	"47710"	"Uninterrupted"	"f"	"iron"	1	216.084
"190"	"47710"	"Uninterrupted"	"f"	"iron"	1	220.273
"191"	"47710"	"Uninterrupted"	"f"	"iron"	1	250.585
"192"	"47710"	"Uninterrupted"	"f"	"iron"	1	253.405
"193"	"47710"	"Uninterrupted"	"f"	"iron"	1	257.793
"194"	"47710"	"Uninterrupted"	"f"	"iron"	1	260.733
"195"	"47710"	"Uninterrupted"	"f"	"iron"	1	263.169
"196"	"47710"	"Uninterrupted"	"f"	"iron"	1	269.084
"197"	"47710"	"Uninterrupted"	"f"	"iron"	1	280.663
"198"	"47710"	"Uninterrupted"	"f"	"iron"	1	294.234
"199"	"47710"	"Uninterrupted"	"f"	"iron"	1	298.309
"200"	"47710"	"Uninterrupted"	"f"	"iron"	1	299.607
"201"	"47710"	"Uninterrupted"	"f"	"iron"	1	302.987
"202"	"47710"	"Uninterrupted"	"f"	"iron"	1	353.86
"203"	"47710"	"Uninterrupted"	"f"	"iron"	1	356.312
"204"	"47710"	"Uninterrupted"	"f"	"iron"	1	361.724
"205"	"47710"	"Uninterrupted"	"f"	"iron"	1	367.615
"206"	"47710"	"Uninterrupted"	"f"	"iron"	1	371.078
"207"	"47710"	"Uninterrupted"	"f"	"iron"	1	387.184
"208"	"47710"	"Uninterrupted"	"f"	"iron"	1	407.797
"209"	"47710"	"Uninterrupted"	"f"	"iron"	1	409.886
"210"	"47710"	"Uninterrupted"	"f"	"iron"	1	433.013
"211"	"47710"	"Uninterrupted"	"f"	"iron"	1	434.035
"212"	"47710"	"Uninterrupted"	"f"	"iron"	1	438.012
"213"	"47710"	"Uninterrupted"	"f"	"iron"	1	440.708
"214"	"47710"	"Uninterrupted"	"f"	"iron"	1	535.402
"215"	"47710"	"Uninterrupted"	"f"	"iron"	1	537.819
"216"	"47710"	"Uninterrupted"	"f"	"iron"	1	540.701
"217"	"47710"	"Uninterrupted"	"f"	"iron"	1	543.67
"218"	"47710"	"Uninterrupted"	"f"	"iron"	1	547.654
"219"	"47710"	"Uninterrupted"	"f"	"iron"	1	554.021
"220"	"48334"	"Uninterrupted"	"f"	"prac"	1	13.2136000000089
"221"	"48334"	"Uninterrupted"	"f"	"prac"	1	17.530700000003
"222"	"48334"	"Uninterrupted"	"f"	"prac"	1	22.071200000003
"223"	"48334"	"Uninterrupted"	"f"	"prac"	1	27.589900000006
"224"	"48334"	"Uninterrupted"	"f"	"prac"	1	34.386
"225"	"48334"	"Uninterrupted"	"f"	"prac"	1	48.283799999997
"226"	"48334"	"Uninterrupted"	"f"	"prac"	1	66.901200000003
"227"	"48334"	"Uninterrupted"	"f"	"prac"	1	88.7185
"228"	"48334"	"Uninterrupted"	"f"	"prac"	1	7.70059999999404
"229"	"48334"	"Uninterrupted"	"f"	"prac"	1	12.659299999997
"230"	"48334"	"Uninterrupted"	"f"	"prac"	1	15.894400000006
"231"	"48334"	"Uninterrupted"	"f"	"prac"	1	19.097
"232"	"48334"	"Uninterrupted"	"f"	"prac"	1	23.632900000006
"233"	"48334"	"Uninterrupted"	"f"	"prac"	1	26.695099999994
"234"	"48334"	"Uninterrupted"	"f"	"prac"	1	30.220200000003
"235"	"48334"	"Uninterrupted"	"f"	"prac"	1	33.736700000003
"236"	"48334"	"Uninterrupted"	"f"	"prac"	1	46.213099999994
"237"	"48334"	"Uninterrupted"	"f"	"prac"	1	55.008900000006
"238"	"48334"	"Uninterrupted"	"f"	"prac"	1	61.487099999994
