pseudo_subid,exp_subid,exp_cond,movName,recalled_eventNo,precision,condition
76,28,Ordered,3Iron,27,0.613439418,Interrupted
76,28,Ordered,3Iron,29,0.663894132,Interrupted
76,28,Ordered,3Iron,31,0.728375345,Interrupted
76,28,Ordered,3Iron,35,0.746271014,Interrupted
76,28,Ordered,3Iron,36,0.764837921,Interrupted
76,28,Ordered,3Iron,37,0.667235062,Interrupted
76,28,Ordered,3Iron,38,0.602518067,Interrupted
76,28,Ordered,3Iron,41,0.840048373,Interrupted
76,28,Ordered,3Iron,42,0.733397245,Interrupted
76,28,Ordered,3Iron,43,0.534145448,Interrupted
76,28,Ordered,3Iron,45,0.76676327,Interrupted
76,28,Ordered,3Iron,49,0.634334058,Interrupted
76,28,Ordered,3Iron,50,0.586238474,Interrupted
76,28,Ordered,3Iron,51,0.621966481,Interrupted
76,28,Ordered,3Iron,63,0.706735328,Interrupted
76,28,Ordered,3Iron,58,0.695582494,Interrupted
76,28,Ordered,3Iron,60,0.695203036,Interrupted
76,28,Ordered,3Iron,61,0.481929829,Interrupted
76,28,Ordered,3Iron,68,0.59524446,Interrupted
76,28,Ordered,3Iron,69,0.741584241,Interrupted
76,28,Ordered,3Iron,70,0.720494255,Interrupted
76,28,Ordered,3Iron,74,0.758694619,Interrupted
28,21,Ordered,3Iron,1,0.825282305,Interrupted
28,21,Ordered,3Iron,2,0.815944314,Interrupted
28,21,Ordered,3Iron,3,0.60092482,Interrupted
28,21,Ordered,3Iron,4,0.73614341,Interrupted
28,21,Ordered,3Iron,5,0.727302432,Interrupted
28,21,Ordered,3Iron,6,0.733036682,Interrupted
28,21,Ordered,3Iron,7,0.790984273,Interrupted
28,21,Ordered,3Iron,8,0.716017783,Interrupted
28,21,Ordered,3Iron,9,0.843929052,Interrupted
28,21,Ordered,3Iron,10,0.759097457,Interrupted
28,21,Ordered,3Iron,11,0.764998138,Interrupted
28,21,Ordered,3Iron,12,0.693064839,Interrupted
28,21,Ordered,3Iron,13,0.831017911,Interrupted
28,21,Ordered,3Iron,14,0.72822243,Interrupted
28,21,Ordered,3Iron,15,0.686594933,Interrupted
28,21,Ordered,3Iron,17,0.805311739,Interrupted
28,21,Ordered,3Iron,18,0.673548758,Interrupted
28,21,Ordered,3Iron,21,0.79101932,Interrupted
28,21,Ordered,3Iron,19,0.84113884,Interrupted
28,21,Ordered,3Iron,20,0.765086859,Interrupted
28,21,Ordered,3Iron,24,0.484024972,Interrupted
