pseudo_subid,exp_cond,exp_subid,movName,temporal_clustering,semantic_clustering,event_condition,condition
60,Jumbled,5,3Iron,0.912662518,0.738389211,intact,Jumbled
60,Jumbled,5,3Iron,0.761345231,0.731261622,separated,Jumbled
75,Jumbled,25,3Iron,0.878798055,0.736136054,intact,Jumbled
75,Jumbled,25,3Iron,0.687966527,0.555180969,separated,Jumbled
88,Ordered,17,3Iron,0.969144987,0.695697772,intact,Interrupted
88,Ordered,17,3Iron,0.957836694,0.700889639,separated,Interrupted
94,Jumbled,31,3Iron,0.874470413,0.739854545,intact,Jumbled
94,Jumbled,31,3Iron,0.735256566,0.380572323,separated,Jumbled
69,Full,14,3Iron,0.963977275,0.689758871,intact,Uninterrupted
69,Full,14,3Iron,0.907843493,0.823836478,separated,Uninterrupted
19,Full,9,3Iron,0.865947843,0.694508731,intact,Uninterrupted
19,Full,9,3Iron,0.942518103,0.623490488,separated,Uninterrupted
47,Ordered,1,3Iron,0.968369681,0.709261224,intact,Interrupted
47,Ordered,1,3Iron,0.946248883,0.657155963,separated,Interrupted
37,Full,15,3Iron,0.938322251,0.78904827,intact,Uninterrupted
37,Full,15,3Iron,0.951610113,0.649817442,separated,Uninterrupted
8,Ordered,5,3Iron,0.925709053,0.755100518,intact,Interrupted
8,Ordered,5,3Iron,0.857477359,0.666474831,separated,Interrupted
72,Full,31,3Iron,0.959726889,0.743419377,intact,Uninterrupted
72,Full,31,3Iron,0.985071807,0.760049338,separated,Uninterrupted
93,Ordered,31,3Iron,0.895265432,0.569355064,intact,Interrupted
93,Ordered,31,3Iron,0.911523158,0.609863642,separated,Interrupted
40,Jumbled,9,3Iron,0.870606664,0.72700136,intact,Jumbled
40,Jumbled,9,3Iron,0.742424242,0.840548341,separated,Jumbled
30,Ordered,24,3Iron,0.931173956,0.721431845,intact,Interrupted
30,Ordered,24,3Iron,0.920169829,0.709817028,separated,Interrupted
1,Ordered,2,3Iron,0.963565411,0.779916741,intact,Interrupted
1,Ordered,2,3Iron,0.925222338,0.688277131,separated,Interrupted
